iter	RMSE
0	2.279284817
1	2.192187569
2	2.101152855
3	2.024488527
4	1.947653121
5	1.876410788
6	1.812118047
7	1.74501113
8	1.681591455
9	1.62337642
10	1.564871882
11	1.512452933
12	1.459222692
13	1.40793921
14	1.362562582
15	1.316221343
16	1.276944017
17	1.237464802
18	1.200479825
19	1.166178062
20	1.13086888
21	1.096721913
22	1.067614542
23	1.038160302
24	1.010877735
25	0.9852029043
26	0.9618542154
27	0.9380165184
28	0.9145947799
29	0.8946984891
30	0.8743509835
31	0.8566257454
32	0.8392686385
33	0.8229031825
34	0.8072981841
35	0.7909806475
36	0.7763739974
37	0.7622398613
38	0.7480076512
39	0.7364261996
40	0.7239414447
41	0.7115124732
42	0.6993729319
43	0.6872191378
44	0.6783119074
45	0.6692741128
46	0.6599517256
47	0.6514622682
48	0.6431845458
49	0.6343649394
50	0.6279249494
51	0.621169368
52	0.6138666804
53	0.6081800107
54	0.6018923844
55	0.5963501107
56	0.5912980156
57	0.5860390849
58	0.5811687016
59	0.5770056121
60	0.5720237572
61	0.5679701047
62	0.5637665334
63	0.5598752008
64	0.5555067482
65	0.5517277746
66	0.548187846
67	0.5436981535
68	0.5407983963
69	0.5375098625
70	0.534033211
71	0.5306558916
72	0.5273766157
73	0.5246054884
74	0.5215178665
75	0.5183172653
76	0.5152061074
77	0.5117261052
78	0.5089174264
79	0.5064146209
80	0.5038324066
81	0.5015493433
82	0.4991314437
83	0.4970223121
84	0.4947044589
85	0.4920759724
86	0.490017675
87	0.4872274816
88	0.4848825278
89	0.4825095468
90	0.4804293817
91	0.4784002471
92	0.4765673245
93	0.474421876
94	0.4724176358
95	0.4701660923
96	0.4684227116
97	0.4665508739
98	0.4650056672
99	0.4631401831
100	0.4616357415
101	0.4598342287
102	0.4586960333
103	0.4566044121
104	0.4547771623
105	0.4529009315
106	0.4518905876
107	0.4506839903
108	0.4491956307
109	0.4475873244
110	0.4461548878
111	0.4446053818
112	0.4433199926
113	0.4415885307
114	0.4403012111
115	0.4391334469
116	0.4379269126
117	0.4361148548
118	0.4342214487
119	0.432472801
120	0.4309755685
121	0.4296218493
122	0.4282468391
123	0.4270014547
124	0.4254317235
125	0.4239762544
126	0.4230734512
127	0.4218161234
128	0.4207405362
129	0.4195479701
130	0.4185953397
131	0.4174066358
132	0.4163610983
133	0.4149339824
134	0.4139653405
135	0.4130570696
136	0.4118195602
137	0.4108697203
138	0.40985734
139	0.4086961104
140	0.4078286235
141	0.4068208272
142	0.4057277554
143	0.4043643273
144	0.4031928876
145	0.4016672654
146	0.4007544223
147	0.3996256198
148	0.3987231537
149	0.3978054906
150	0.3966588897
151	0.3959682927
152	0.3951094069
153	0.3936678451
154	0.3927840266
155	0.3919072578
156	0.3909830984
157	0.3896066826
158	0.3885869877
159	0.3871502628
160	0.3863457994
161	0.3851117502
162	0.3841818448
163	0.382965104
164	0.3821095484
165	0.3812377732
166	0.3799315834
167	0.3791082294
168	0.3780857672
169	0.376920722
170	0.3759955691
171	0.3746920223
172	0.3737698297
173	0.3730655786
174	0.3721378049
175	0.37119787
176	0.37039435
177	0.3692479737
178	0.3679531548
179	0.3671564304
180	0.366188288
181	0.3650761292
182	0.3641170723
183	0.3632821122
184	0.3621619926
185	0.3611400163
186	0.359991457
187	0.3592768999
188	0.3584233652
189	0.3576878104
190	0.3569438879
191	0.3554477993
192	0.3543094148
193	0.3534825493
194	0.3520406553
195	0.3505977261
196	0.3495784742
197	0.3488382866
198	0.3475251968
199	0.3465940488
200	0.3457504078
201	0.3450769573
202	0.3443653387
203	0.3437869536
204	0.3424717463
205	0.3413423064
206	0.3406712808
207	0.3398502454
208	0.3390646549
209	0.3379925545
210	0.3372419541
211	0.3363774314
212	0.3352081511
213	0.3343831968
214	0.3336433852
215	0.3325930464
216	0.3316497619
217	0.3310246168
218	0.3301513383
219	0.3294258166
220	0.3287295362
221	0.3277990889
222	0.3270025154
223	0.3262357614
224	0.3255986792
225	0.3246419027
226	0.3234052381
227	0.3229708172
228	0.3222785918
229	0.3215170755
230	0.3207524663
231	0.3199814017
232	0.3194423581
233	0.3189611276
234	0.3184597033
235	0.3176377479
236	0.3170310037
237	0.3160866726
238	0.3153641698
239	0.3145813577
240	0.3139075697
241	0.3131611141
242	0.3125247561
243	0.3121352643
244	0.3116572863
245	0.3109136524
246	0.3103600201
247	0.3090781544
248	0.3080383306
249	0.3073072174
250	0.306642997
251	0.3060212827
252	0.3053116369
253	0.3046587542
254	0.3038581139
255	0.3029611164
256	0.302339649
257	0.3014582072
258	0.3007164901
259	0.3000718825
260	0.2994458082
261	0.2987953984
262	0.2980364855
263	0.2974204509
264	0.296826662
265	0.2960982254
266	0.295014938
267	0.294478976
268	0.294131389
269	0.2932017693
270	0.2927034496
271	0.2920537301
272	0.2912717674
273	0.290357722
274	0.2898209138
275	0.2891491083
276	0.2881984324
277	0.2873348124
278	0.2865936035
279	0.286154057
280	0.285745925
281	0.2850177921
282	0.284461532
283	0.2838128233
284	0.283193405
285	0.282612553
286	0.2819905774
287	0.2816300199
288	0.2810137234
289	0.2800198444
290	0.2792161343
291	0.2786987334
292	0.2778645567
293	0.2774175351
294	0.276837641
295	0.2761330052
296	0.2756100063
297	0.275000802
298	0.2744937282
299	0.2740766231
300	0.2734514795
301	0.2729337908
302	0.2724876686
303	0.2721804267
304	0.2717997704
305	0.2709488116
306	0.2699943139
307	0.2689668676
308	0.268397085
309	0.2679184581
310	0.267465918
311	0.2668770502
312	0.266428566
313	0.2657200341
314	0.2650056036
315	0.2644134946
316	0.263928844
317	0.2633335572
318	0.2624476338
319	0.2620185371
320	0.2611798838
321	0.2606448153
322	0.2599865805
323	0.2591985858
324	0.2586034822
325	0.2581038839
326	0.257517301
327	0.257152623
328	0.2566518621
329	0.2562406647
330	0.2559550841
331	0.2553935603
332	0.2548987755
333	0.2543890174
334	0.2539234213
335	0.2533878688
336	0.2528785879
337	0.252532887
338	0.2517714253
339	0.2514473258
340	0.2509167412
341	0.250385803
342	0.2497413128
343	0.2492009881
344	0.2486934979
345	0.2481915713
346	0.2477345796
347	0.2471089917
348	0.2465595268
349	0.2461878297
350	0.2457647388
351	0.245388707
352	0.2450243663
353	0.2445761732
354	0.2440634722
355	0.2434516351
356	0.2430719705
357	0.2423842437
358	0.2420933611
359	0.2417222431
360	0.2411851406
361	0.2408577329
362	0.2403967321
363	0.2399860754
364	0.2394835642
365	0.2387089665
366	0.2382924928
367	0.2378873619
368	0.2373240492
369	0.2368594012
370	0.236339766
371	0.2355477391
372	0.2351071312
