iter	Passed	Remaining
0	16	16245
1	33	16947
2	50	16742
3	67	16880
4	85	17051
5	102	17010
6	119	16930
7	135	16848
8	152	16813
9	169	16772
10	185	16704
11	202	16691
12	218	16621
13	236	16631
14	255	16796
15	273	16796
16	290	16782
17	307	16760
18	324	16777
19	342	16798
20	360	16829
21	378	16840
22	395	16816
23	412	16789
24	429	16757
25	446	16731
26	464	16736
27	482	16742
28	499	16740
29	517	16744
30	535	16746
31	554	16760
32	571	16735
33	588	16711
34	606	16719
35	623	16707
36	640	16665
37	656	16623
38	673	16584
39	691	16584
40	708	16571
41	726	16568
42	743	16537
43	759	16501
44	776	16478
45	793	16463
46	811	16454
47	829	16459
48	847	16447
49	864	16421
50	880	16384
51	897	16355
52	914	16331
53	931	16321
54	950	16326
55	968	16327
56	986	16323
57	1004	16311
58	1021	16285
59	1037	16251
60	1053	16217
61	1070	16196
62	1087	16181
63	1104	16150
64	1122	16143
65	1139	16121
66	1157	16116
67	1174	16097
68	1191	16072
69	1208	16057
70	1225	16036
71	1243	16023
72	1259	15999
73	1275	15963
74	1292	15938
75	1309	15918
76	1327	15907
77	1345	15899
78	1362	15887
79	1380	15879
80	1397	15860
81	1415	15850
82	1432	15824
83	1448	15795
84	1465	15777
85	1481	15749
86	1498	15722
87	1514	15700
88	1532	15685
89	1550	15672
90	1566	15650
91	1585	15645
92	1602	15627
93	1618	15603
94	1636	15589
95	1652	15563
96	1669	15539
97	1685	15513
98	1702	15490
99	1719	15473
100	1735	15450
101	1752	15429
102	1769	15409
103	1787	15396
104	1805	15392
105	1823	15382
106	1842	15376
107	1860	15362
108	1878	15353
109	1895	15333
110	1912	15318
111	1929	15299
112	1946	15279
113	1964	15265
114	1982	15256
115	2000	15246
116	2018	15231
117	2035	15212
118	2053	15200
119	2069	15179
120	2087	15161
121	2103	15139
122	2119	15115
123	2136	15093
124	2153	15073
125	2170	15054
126	2186	15032
127	2204	15017
128	2223	15012
129	2239	14989
130	2256	14967
131	2272	14940
132	2288	14916
133	2304	14893
134	2322	14879
135	2341	14874
136	2359	14862
137	2375	14840
138	2393	14827
139	2414	14831
140	2433	14823
141	2450	14805
142	2468	14792
143	2485	14777
144	2503	14761
145	2520	14744
146	2538	14728
147	2556	14714
148	2574	14706
149	2593	14695
150	2610	14678
151	2630	14672
152	2647	14658
153	2665	14644
154	2683	14628
155	2700	14609
156	2717	14591
157	2734	14572
158	2750	14548
159	2767	14528
160	2784	14511
161	2802	14495
162	2820	14485
163	2841	14482
164	2859	14470
165	2877	14455
166	2893	14433
167	2910	14414
168	2927	14392
169	2943	14373
170	2961	14355
171	2978	14337
172	2995	14318
173	3012	14302
174	3030	14285
175	3047	14265
176	3065	14253
177	3082	14236
178	3100	14220
179	3116	14198
180	3133	14177
181	3149	14157
182	3166	14135
183	3183	14116
184	3201	14104
