iter	RMSE
0	2.251444034
1	2.156855052
2	2.06421603
3	1.979871719
4	1.89967437
5	1.823036845
6	1.751187665
7	1.681677356
8	1.616204664
9	1.555986864
10	1.496962676
11	1.442604656
12	1.389670241
13	1.337954059
14	1.289581622
15	1.24441963
16	1.202536532
17	1.162144959
18	1.123353967
19	1.087870724
20	1.051380444
21	1.018247151
22	0.9888086521
23	0.9616333785
24	0.9352860082
25	0.9109035752
26	0.8864211784
27	0.8654019969
28	0.8437951607
29	0.8240393053
30	0.804419207
31	0.7869744635
32	0.7713466472
33	0.7564700857
34	0.7418581757
35	0.7282793653
36	0.7152132088
37	0.7043825286
38	0.6925734676
39	0.6830113007
40	0.6735315086
41	0.6624804696
42	0.6525170985
43	0.644616353
44	0.6356773906
45	0.6282795231
46	0.6214421938
47	0.6145008159
48	0.6076013318
49	0.6005850655
50	0.594446807
51	0.5887708846
52	0.5843025772
53	0.5799317131
54	0.575577777
55	0.5706707749
56	0.5677895952
57	0.5632038481
58	0.5601627249
59	0.5562360452
60	0.5526485198
61	0.5496520045
62	0.5466684546
63	0.5435016922
64	0.5407581971
65	0.5383044238
66	0.5359925693
67	0.5326008571
68	0.5305975592
69	0.5285250275
70	0.5270679164
71	0.5245987163
72	0.522654469
73	0.5210315619
74	0.5194897359
75	0.5176900646
76	0.5163131514
77	0.5147053196
78	0.5132630201
79	0.5117790599
80	0.5105220036
81	0.5091205992
82	0.507202451
83	0.5059322903
84	0.504557936
85	0.5028725349
86	0.5015386675
87	0.5004263007
88	0.4987201295
89	0.4976911077
90	0.4960367082
91	0.4952198184
92	0.494106114
93	0.4927681667
94	0.4918039265
95	0.490750919
96	0.4898414586
97	0.4885139104
98	0.4875332731
99	0.4865848156
100	0.485731796
101	0.4847731555
102	0.4838093875
103	0.4829814056
104	0.4820965713
105	0.4811584192
106	0.4802634335
107	0.4793845757
108	0.4784438392
109	0.4775556657
110	0.4765480548
111	0.4753741488
112	0.4746548615
113	0.4734886764
114	0.4727695745
115	0.4719289509
116	0.4712736879
117	0.4702715337
118	0.4694719037
119	0.4687053374
120	0.4677755719
121	0.4668323764
122	0.4659948065
123	0.4649877077
124	0.4642440111
125	0.4635287014
126	0.462900348
127	0.4621592646
128	0.4611430217
129	0.4604252323
130	0.4600471053
131	0.4595065028
132	0.4589038472
133	0.4583362021
134	0.4576432202
135	0.4571094793
136	0.4565012626
137	0.4558478031
138	0.4551211716
139	0.4543873541
140	0.4537161785
141	0.4532177225
142	0.4523449984
143	0.4518554579
144	0.4511623722
145	0.4506329128
146	0.4499251474
147	0.4493664367
148	0.4488973511
149	0.4482614199
150	0.447570353
151	0.447150793
152	0.4464568155
153	0.4458512072
154	0.4452981714
155	0.4446291239
156	0.444219896
157	0.4436380755
158	0.4431375029
159	0.4423750279
160	0.4415727972
161	0.4409840801
162	0.4405044262
163	0.4395796911
164	0.4390828806
165	0.438508997
166	0.4378376294
167	0.4371395941
168	0.4367120001
169	0.4361175443
170	0.4355053344
171	0.4347519517
172	0.4341842786
173	0.4336096308
174	0.4330499084
175	0.4321124313
176	0.4315961818
177	0.431041247
178	0.4305890555
179	0.4300999733
180	0.4296367264
181	0.4293039571
182	0.4286201151
183	0.4278753235
184	0.4274098625
185	0.4270079709
186	0.4264965067
187	0.4259519403
188	0.4251733377
189	0.4247010328
190	0.4239749421
191	0.4229450519
192	0.4226892929
193	0.4222518305
194	0.4213433025
195	0.420673945
196	0.4200954158
197	0.4195234077
198	0.4191261374
199	0.4183924324
200	0.4175766593
201	0.4170358797
202	0.4164997448
203	0.4159835742
204	0.4156173401
205	0.4150727143
206	0.4142863036
207	0.4137339427
208	0.4131134325
209	0.4127489373
210	0.4122456572
211	0.4118601139
212	0.4113499124
213	0.4107993293
214	0.4101863613
215	0.409791382
216	0.4093050903
217	0.4088887703
218	0.4082622608
219	0.4078071067
220	0.4070778136
221	0.4066660418
222	0.4061206254
223	0.4054902139
224	0.4050620663
225	0.4046555583
226	0.4042188482
227	0.4037654113
228	0.4033060262
229	0.4028807326
230	0.4023612622
231	0.4016583023
232	0.4012107269
233	0.4006371411
234	0.400244604
235	0.3997363076
236	0.399332337
237	0.3989331037
238	0.3985934218
239	0.3982282767
240	0.3977868735
241	0.397336395
242	0.3969986932
243	0.3966173322
244	0.3961546378
245	0.3958305171
246	0.3953391601
247	0.3947178251
248	0.3943404467
249	0.3939241373
250	0.3933814124
251	0.3929077259
252	0.3922383191
253	0.3919068132
254	0.391575888
255	0.3911632205
256	0.3909414047
257	0.3906026431
258	0.3900537348
259	0.3895146693
260	0.3889554032
261	0.3885734408
262	0.3879862624
263	0.3874344518
264	0.3868668688
265	0.3863297534
266	0.3859521777
267	0.3856471833
268	0.385369451
269	0.3846825908
270	0.3843619909
271	0.3838869744
272	0.3833976901
273	0.3829829521
274	0.382455715
275	0.3820822979
276	0.3817540278
277	0.3813926546
278	0.3810657414
279	0.3806771338
280	0.3800459413
281	0.3796293607
282	0.379162134
283	0.3788867665
284	0.3783455686
285	0.3779998142
286	0.3776719999
287	0.3771709335
288	0.3769303324
289	0.3764752775
290	0.3761261489
291	0.3757830696
292	0.3749974502
293	0.374590839
294	0.3741705657
295	0.3736629342
296	0.3732357616
297	0.3729821307
298	0.3727196847
299	0.3724519469
300	0.3716766556
301	0.3711924014
302	0.3708736174
303	0.3705104055
304	0.3702521173
305	0.3697838424
306	0.3691891754
307	0.3684679283
308	0.3681042774
309	0.3676713528
310	0.3674249919
311	0.3670694825
312	0.3663719839
313	0.3659855162
314	0.3655965099
315	0.3651220422
316	0.3647734747
317	0.3641189699
318	0.3634228117
319	0.3629626434
320	0.3626721957
321	0.3624041297
322	0.3620958769
323	0.3616715186
324	0.3614058007
325	0.3612179592
326	0.3609880158
327	0.3606120474
328	0.3601779539
329	0.359839902
330	0.3595430669
331	0.3592542705
332	0.3588304378
333	0.3585346225
334	0.3581507493
335	0.3577804237
336	0.3574040436
337	0.3571213843
338	0.3568407684
339	0.3563196714
340	0.3559663096
341	0.3557642708
342	0.3554225468
343	0.3551535334
344	0.3548324245
345	0.3544812103
346	0.3542505317
347	0.3537350212
348	0.3534307833
349	0.3530235982
350	0.3527670376
351	0.3525354891
352	0.3521701257
353	0.3519336914
354	0.351569226
355	0.3512598125
356	0.3509697157
357	0.3505605581
358	0.3501868848
359	0.3499567511
360	0.3495854926
361	0.3492527639
362	0.3487734214
363	0.348510859
364	0.3483278974
365	0.3477283587
366	0.3475548878
367	0.3473401082
368	0.3469467807
369	0.3465531907
370	0.3460644504
371	0.345502764
372	0.3450924651
373	0.344725511
374	0.3443895318
375	0.3440576704
376	0.3437127216
377	0.3433914567
378	0.3429928177
379	0.3428262891
380	0.3426222088
381	0.3422211897
382	0.341774158
383	0.341415872
384	0.3411008156
385	0.3407566143
386	0.3404292378
387	0.340063776
388	0.3396960726
389	0.3393367949
390	0.3389070719
391	0.3386413115
392	0.3382263624
393	0.3377621186
394	0.3375381351
395	0.3372158363
396	0.3369897821
397	0.3364481033
398	0.3361018494
399	0.3357420621
400	0.3355145599
401	0.3351475269
402	0.3347588233
403	0.3344936833
404	0.3342105843
405	0.3338102329
406	0.333524912
407	0.3332480534
408	0.3329697166
409	0.332680009
410	0.3323792526
411	0.3319520029
412	0.3316535051
413	0.3313336568
414	0.3310351137
415	0.3306827816
416	0.3303684105
417	0.3301104549
418	0.3298037007
419	0.3294691118
420	0.3290427718
421	0.328650765
422	0.3282411388
423	0.3279749469
424	0.3277559408
425	0.3274522935
426	0.3271942601
427	0.3269162349
428	0.3266318094
429	0.3263129268
430	0.3260541063
431	0.3258258659
432	0.3255795312
433	0.3253433122
434	0.3250691377
435	0.3248679975
436	0.3247146522
