iter	Passed	Remaining
0	17	17703
1	36	18135
2	55	18392
3	75	18786
4	94	18885
5	113	18854
6	133	18876
7	152	18935
8	172	19029
9	191	18964
10	211	19037
11	230	18963
12	249	18961
13	269	18986
14	287	18890
15	306	18864
16	324	18782
17	344	18810
18	366	18913
19	386	18947
20	406	18971
21	427	18993
22	446	18969
23	465	18930
24	484	18904
25	504	18886
26	522	18827
27	542	18838
28	562	18818
29	580	18785
30	600	18784
31	621	18808
32	644	18872
33	663	18855
34	682	18823
35	701	18777
36	720	18758
37	738	18707
38	758	18680
39	777	18666
40	796	18627
41	815	18596
42	834	18582
43	856	18608
44	879	18666
45	899	18655
46	918	18634
47	940	18655
48	961	18655
49	978	18595
50	999	18597
51	1018	18576
52	1037	18545
53	1059	18565
54	1078	18527
55	1097	18504
56	1117	18484
57	1136	18463
58	1157	18459
59	1175	18423
60	1195	18395
61	1214	18374
62	1233	18344
63	1252	18318
64	1272	18303
65	1292	18293
66	1311	18260
67	1329	18227
68	1348	18192
69	1368	18177
70	1387	18151
71	1405	18121
72	1424	18095
73	1443	18064
74	1462	18041
75	1481	18016
76	1502	18012
77	1522	17992
78	1541	17971
79	1559	17938
80	1578	17905
81	1596	17875
82	1615	17851
83	1637	17856
84	1657	17845
85	1677	17828
86	1696	17804
87	1715	17783
88	1738	17794
89	1758	17777
90	1777	17760
91	1796	17729
92	1814	17700
93	1834	17683
94	1854	17661
95	1874	17655
96	1895	17642
97	1916	17637
98	1939	17655
99	1962	17663
100	1981	17634
101	1999	17605
102	2020	17592
103	2040	17582
104	2059	17552
105	2078	17531
106	2098	17513
107	2117	17490
108	2137	17476
109	2158	17464
110	2178	17443
111	2196	17414
112	2214	17385
113	2233	17358
114	2253	17338
115	2271	17311
116	2291	17293
117	2309	17264
118	2329	17247
119	2349	17230
120	2370	17217
121	2389	17196
122	2409	17178
123	2428	17153
124	2448	17139
125	2468	17125
126	2489	17112
127	2509	17098
128	2530	17083
129	2550	17065
130	2570	17052
131	2590	17033
132	2609	17010
133	2627	16983
134	2647	16963
135	2668	16950
136	2687	16932
137	2706	16904
138	2725	16880
139	2744	16857
140	2762	16829
141	2782	16812
142	2803	16800
143	2822	16775
144	2841	16753
145	2860	16731
146	2879	16708
147	2900	16696
148	2920	16678
149	2938	16651
150	2957	16630
151	2977	16612
152	2997	16593
153	3018	16584
154	3039	16569
155	3058	16547
156	3076	16521
157	3095	16495
158	3113	16468
159	3132	16443
160	3151	16424
161	3170	16402
162	3190	16382
163	3210	16366
164	3231	16351
165	3250	16331
166	3269	16309
167	3288	16284
168	3307	16265
169	3326	16241
170	3345	16216
171	3364	16194
172	3382	16168
173	3402	16150
174	3420	16127
175	3441	16113
176	3464	16110
177	3484	16090
178	3503	16068
179	3521	16042
180	3540	16018
181	3558	15994
182	3577	15971
183	3599	15961
184	3619	15946
185	3639	15927
186	3660	15915
187	3679	15891
188	3699	15874
189	3717	15848
190	3735	15823
191	3755	15802
192	3773	15779
193	3792	15756
194	3811	15735
195	3831	15717
196	3851	15698
197	3871	15682
198	3893	15670
199	3912	15650
200	3930	15624
201	3954	15622
202	3973	15600
203	3992	15579
204	4012	15560
205	4032	15544
206	4051	15521
207	4070	15500
208	4093	15490
209	4111	15468
210	4131	15449
211	4150	15428
212	4171	15414
213	4191	15393
214	4210	15373
215	4231	15359
216	4252	15343
217	4272	15325
218	4291	15305
219	4311	15284
220	4329	15262
221	4348	15238
222	4366	15215
223	4385	15191
224	4404	15170
225	4424	15153
226	4444	15135
227	4466	15122
228	4487	15107
229	4507	15090
230	4528	15074
231	4548	15057
232	4567	15035
233	4585	15011
234	4604	14988
235	4622	14965
236	4641	14943
237	4660	14920
238	4678	14897
239	4698	14879
240	4722	14871
241	4743	14857
242	4761	14833
243	4779	14809
244	4798	14786
245	4816	14762
246	4835	14741
247	4853	14718
248	4875	14705
249	4894	14682
250	4913	14661
251	4933	14643
252	4953	14626
253	4974	14611
254	4994	14591
255	5012	14568
256	5030	14544
257	5048	14520
258	5068	14500
259	5086	14476
260	5106	14457
261	5125	14437
262	5144	14417
263	5163	14396
264	5184	14380
265	5204	14361
266	5223	14339
267	5243	14321
268	5261	14298
269	5280	14275
270	5299	14255
271	5319	14236
272	5338	14216
273	5358	14197
274	5378	14178
275	5396	14155
276	5414	14133
277	5433	14111
278	5452	14090
279	5473	14075
280	5494	14059
281	5514	14040
282	5533	14018
283	5552	13999
284	5572	13980
285	5593	13963
286	5612	13942
287	5630	13920
288	5649	13899
289	5667	13876
290	5686	13854
291	5707	13838
292	5726	13816
293	5745	13796
294	5767	13782
295	5787	13764
296	5808	13748
297	5827	13727
298	5848	13712
