iter	Passed	Remaining
0	17	17198
1	34	16982
2	50	16947
3	68	17017
4	86	17203
5	102	17056
6	119	16978
7	136	16979
8	154	17016
9	171	17018
10	189	17040
11	209	17256
12	230	17500
13	248	17485
14	265	17433
15	282	17344
16	298	17272
17	315	17229
18	332	17166
19	350	17173
20	367	17151
21	384	17107
22	403	17140
23	420	17115
24	438	17103
25	455	17067
26	473	17048
27	490	17028
28	507	16983
29	524	16945
30	541	16912
31	558	16888
32	575	16868
33	594	16884
34	613	16908
35	631	16917
36	651	16963
37	670	16975
38	688	16967
39	705	16927
40	723	16928
41	742	16931
42	760	16933
43	780	16964
44	798	16946
45	816	16941
46	835	16933
47	852	16905
48	869	16876
49	886	16843
50	903	16809
51	920	16786
52	937	16752
53	956	16748
54	974	16737
55	992	16724
56	1009	16700
57	1027	16683
58	1045	16669
59	1062	16638
60	1080	16635
61	1098	16617
62	1115	16583
63	1131	16552
64	1149	16537
65	1167	16525
66	1186	16525
67	1205	16518
68	1225	16537
69	1244	16533
70	1262	16519
71	1280	16507
72	1297	16480
73	1315	16457
74	1332	16430
75	1349	16402
76	1365	16370
77	1382	16342
78	1399	16318
79	1419	16320
80	1438	16318
81	1455	16293
82	1473	16284
83	1491	16262
84	1510	16255
85	1527	16229
86	1543	16201
87	1560	16172
88	1577	16146
89	1594	16124
90	1611	16096
91	1633	16118
92	1650	16101
93	1667	16068
94	1684	16047
95	1702	16034
96	1720	16015
97	1738	16000
98	1755	15980
99	1773	15957
100	1789	15932
101	1806	15904
102	1823	15882
103	1840	15860
104	1858	15841
105	1876	15822
106	1893	15801
107	1911	15785
108	1928	15761
109	1945	15743
110	1962	15716
111	1978	15690
112	1995	15667
113	2013	15649
114	2030	15625
115	2047	15603
116	2065	15585
117	2084	15581
118	2102	15565
119	2120	15552
120	2137	15529
121	2154	15507
122	2171	15482
123	2189	15467
124	2208	15461
125	2227	15450
126	2245	15436
127	2262	15413
128	2282	15409
129	2299	15386
130	2316	15367
131	2334	15353
132	2351	15330
133	2368	15306
134	2385	15283
135	2403	15267
136	2420	15247
137	2438	15232
138	2455	15208
139	2472	15187
140	2488	15163
141	2507	15148
142	2525	15132
143	2543	15121
144	2561	15104
145	2578	15083
146	2595	15059
147	2613	15047
148	2631	15030
149	2648	15006
150	2665	14987
151	2682	14963
152	2699	14943
153	2717	14928
154	2735	14912
155	2754	14902
156	2772	14886
157	2790	14873
158	2809	14857
159	2827	14845
160	2845	14828
161	2862	14808
162	2881	14798
163	2899	14778
164	2917	14766
165	2938	14763
166	2957	14753
167	2976	14741
168	2995	14729
169	3012	14708
170	3031	14696
171	3052	14692
172	3069	14674
173	3087	14655
174	3104	14633
175	3120	14610
176	3137	14587
177	3154	14567
178	3173	14553
179	3191	14539
180	3209	14524
181	3229	14514
182	3246	14495
183	3263	14474
184	3280	14451
185	3298	14434
186	3314	14411
187	3331	14390
188	3349	14371
189	3368	14359
190	3386	14343
191	3404	14328
192	3425	14322
193	3444	14309
194	3462	14292
195	3478	14269
196	3495	14249
197	3512	14228
198	3530	14209
199	3549	14197
200	3566	14176
201	3583	14158
202	3603	14147
203	3621	14131
204	3639	14116
205	3657	14096
206	3674	14077
207	3692	14061
208	3710	14044
209	3730	14034
210	3748	14015
211	3765	13995
212	3782	13973
213	3799	13954
214	3817	13936
215	3835	13920
216	3852	13902
217	3871	13889
218	3888	13868
219	3907	13853
220	3923	13831
221	3941	13811
222	3958	13790
223	3975	13772
224	3992	13750
225	4009	13731
226	4026	13712
227	4045	13696
228	4063	13681
229	4081	13664
230	4103	13659
231	4120	13641
232	4138	13622
233	4154	13600
234	4173	13586
235	4191	13568
236	4208	13547
237	4224	13526
238	4245	13518
239	4263	13502
240	4282	13488
241	4301	13472
242	4318	13452
243	4334	13431
244	4352	13411
245	4369	13391
246	4385	13370
247	4403	13352
248	4421	13335
249	4438	13316
250	4456	13299
251	4474	13282
252	4492	13265
253	4510	13246
254	4529	13234
255	4546	13214
256	4564	13197
257	4582	13179
258	4599	13159
259	4615	13135
260	4631	13114
261	4649	13095
262	4669	13084
263	4687	13067
264	4706	13054
265	4724	13037
266	4742	13020
267	4761	13004
268	4778	12985
269	4795	12965
270	4812	12945
271	4829	12926
272	4846	12906
273	4863	12886
274	4881	12868
275	4901	12856
276	4919	12839
277	4937	12824
278	4958	12814
279	4978	12802
280	4996	12785
281	5015	12769
282	5034	12755
283	5053	12741
284	5076	12736
285	5097	12725
286	5116	12710
287	5135	12697
288	5162	12700
289	5188	12703
290	5214	12704
291	5235	12694
292	5255	12681
293	5275	12667
294	5296	12657
295	5315	12641
296	5337	12633
297	5356	12618
298	5373	12598
299	5390	12578
300	5407	12557
301	5425	12538
302	5443	12521
303	5460	12501
304	5477	12481
305	5494	12460
306	5512	12444
307	5530	12425
308	5549	12409
309	5569	12397
310	5589	12382
311	5605	12361
312	5622	12340
313	5639	12320
314	5656	12301
315	5674	12283
316	5692	12265
317	5710	12247
318	5728	12229
319	5746	12210
320	5763	12191
321	5782	12174
322	5799	12155
323	5819	12141
324	5836	12122
325	5853	12102
326	5870	12082
327	5887	12061
328	5904	12041
329	5921	12021
330	5939	12004
331	5957	11987
332	5975	11969
333	5996	11957
334	6013	11937
335	6030	11917
336	6047	11896
337	6064	11876
338	6080	11856
339	6099	11839
340	6116	11821
341	6133	11801
342	6151	11782
343	6169	11765
344	6186	11745
345	6204	11727
346	6223	11711
347	6241	11693
348	6258	11673
349	6275	11653
350	6293	11637
351	6310	11617
352	6327	11597
353	6344	11578
354	6361	11558
355	6380	11542
356	6399	11525
357	6417	11508
358	6436	11491
359	6454	11474
360	6472	11456
361	6489	11436
362	6505	11416
363	6522	11396
364	6540	11379
365	6558	11360
366	6576	11342
367	6592	11322
368	6610	11303
369	6628	11286
370	6647	11269
371	6665	11253
372	6683	11235
373	6701	11216
374	6718	11197
375	6735	11177
376	6752	11158
377	6769	11139
378	6787	11121
379	6805	11103
380	6822	11084
381	6839	11065
382	6858	11048
383	6876	11030
384	6893	11012
385	6910	10992
386	6927	10973
387	6944	10954
388	6962	10935
389	6979	10916
390	6996	10897
391	7012	10877
392	7031	10860
393	7048	10841
394	7065	10822
395	7084	10805
396	7104	10790
397	7122	10773
398	7140	10756
399	7158	10737
400	7175	10719
401	7194	10702
402	7212	10684
403	7230	10667
404	7249	10650
405	7267	10633
406	7287	10617
407	7306	10600
408	7325	10585
409	7344	10568
410	7362	10551
411	7380	10533
412	7397	10514
413	7415	10496
414	7433	10477
415	7450	10458
416	7468	10441
417	7486	10423
418	7503	10404
419	7523	10389
420	7540	10370
421	7557	10350
422	7573	10330
423	7591	10312
424	7608	10293
425	7626	10275
426	7643	10256
427	7660	10237
428	7677	10219
429	7696	10202
430	7713	10183
431	7730	10164
432	7748	10146
433	7766	10128
434	7783	10110
435	7802	10092
436	7820	10075
437	7837	10056
438	7854	10037
439	7871	10018
440	7889	10000
441	7906	9981
442	7924	9963
443	7941	9944
444	7958	9926
445	7978	9910
446	7995	9891
447	8012	9872
448	8030	9854
449	8046	9835
450	8063	9815
451	8080	9796
452	8098	9779
453	8116	9760
454	8133	9742
455	8151	9724
456	8168	9706
457	8187	9689
458	8205	9671
459	8223	9653
460	8240	9634
461	8258	9617
462	8275	9598
463	8293	9580
464	8310	9562
465	8329	9544
466	8347	9527
467	8365	9509
468	8383	9492
469	8402	9475
470	8421	9458
471	8442	9443
472	8458	9424
473	8475	9405
474	8495	9389
475	8514	9373
476	8530	9353
477	8548	9334
478	8565	9316
479	8584	9300
480	8603	9282
481	8621	9265
482	8638	9246
483	8656	9228
484	8675	9211
485	8692	9193
486	8709	9174
487	8726	9155
488	8743	9136
489	8760	9118
490	8778	9100
491	8796	9082
492	8814	9065
493	8832	9047
494	8851	9029
495	8868	9011
496	8885	8992
497	8902	8974
498	8920	8955
499	8937	8937
500	8954	8918
501	8971	8900
502	8989	8882
503	9008	8865
504	9025	8847
505	9043	8829
506	9061	8811
507	9079	8793
508	9097	8775
509	9115	8757
510	9132	8739
511	9149	8720
512	9168	8703
513	9186	8686
514	9204	8668
515	9221	8649
516	9239	8631
517	9257	8614
518	9277	8598
519	9294	8579
520	9311	8560
521	9328	8542
522	9346	8524
523	9363	8506
524	9382	8489
525	9400	8471
526	9418	8453
527	9438	8437
528	9457	8420
529	9475	8402
530	9494	8386
531	9514	8370
532	9531	8351
533	9549	8333
534	9567	8315
535	9584	8297
536	9602	8279
537	9620	8261
538	9638	8243
539	9657	8227
540	9675	8209
541	9695	8192
542	9712	8174
543	9729	8155
544	9745	8136
545	9762	8117
546	9779	8099
547	9796	8080
548	9813	8061
549	9831	8043
550	9849	8025
551	9866	8007
552	9885	7990
553	9902	7972
554	9920	7953
555	9936	7935
556	9954	7917
557	9971	7898
558	9989	7880
559	10005	7861
560	10022	7843
561	10041	7825
562	10059	7807
563	10077	7790
564	10097	7773
565	10114	7755
566	10131	7736
567	10147	7718
568	10164	7699
569	10183	7682
570	10200	7663
571	10217	7645
572	10234	7626
573	10250	7607
574	10268	7589
575	10285	7571
576	10304	7554
577	10322	7536
578	10339	7518
579	10356	7499
580	10373	7481
581	10392	7463
582	10410	7446
583	10428	7428
584	10445	7409
585	10463	7392
586	10482	7375
587	10500	7357
588	10516	7338
589	10534	7320
590	10552	7303
591	10571	7285
592	10588	7267
593	10605	7248
594	10622	7230
595	10638	7211
596	10655	7192
597	10672	7174
598	10690	7157
599	10707	7138
600	10725	7120
601	10744	7103
602	10760	7084
603	10777	7066
604	10795	7048
605	10812	7029
606	10829	7011
607	10846	6993
608	10863	6974
609	10881	6956
610	10899	6939
611	10916	6921
612	10936	6904
613	10955	6887
614	10982	6874
615	10998	6856
616	11015	6837
617	11033	6819
618	11051	6802
619	11067	6783
620	11085	6765
621	11103	6747
622	11120	6729
623	11139	6712
624	11157	6694
625	11175	6676
626	11194	6659
627	11211	6641
628	11228	6622
629	11245	6604
630	11262	6586
631	11279	6568
632	11296	6549
633	11315	6532
634	11331	6513
635	11349	6495
636	11367	6477
637	11385	6460
638	11403	6442
639	11421	6424
640	11438	6406
641	11458	6389
642	11476	6372
643	11493	6353
644	11509	6334
645	11527	6316
646	11544	6298
647	11562	6280
648	11581	6263
649	11599	6245
650	11617	6227
651	11634	6209
652	11652	6191
653	11669	6173
654	11688	6156
655	11707	6139
656	11725	6121
657	11743	6103
658	11762	6086
659	11779	6068
660	11798	6050
661	11815	6032
662	11832	6014
663	11849	5996
664	11866	5977
665	11882	5959
666	11900	5941
667	11918	5923
668	11935	5905
669	11952	5887
670	11973	5870
671	11990	5852
672	12008	5834
673	12026	5817
674	12044	5799
675	12060	5780
676	12077	5762
677	12094	5744
678	12111	5725
679	12128	5707
680	12145	5689
681	12162	5670
682	12179	5652
683	12196	5634
684	12215	5617
685	12233	5599
686	12250	5581
687	12267	5562
688	12284	5544
689	12300	5526
690	12317	5508
691	12334	5489
692	12351	5471
693	12368	5453
694	12387	5436
695	12405	5418
696	12423	5400
697	12442	5383
698	12461	5366
699	12478	5348
700	12494	5329
701	12512	5311
702	12528	5293
703	12545	5274
704	12563	5256
705	12581	5239
706	12598	5221
707	12617	5203
708	12634	5185
709	12652	5167
710	12669	5149
711	12686	5131
712	12704	5113
713	12722	5096
714	12740	5078
715	12759	5060
716	12776	5042
717	12794	5025
718	12812	5007
719	12829	4989
720	12847	4971
721	12865	4953
722	12883	4935
723	12902	4918
724	12919	4900
725	12937	4882
726	12954	4864
727	12972	4846
728	12990	4829
729	13008	4811
730	13026	4793
731	13045	4776
732	13062	4758
733	13082	4740
734	13099	4723
735	13117	4705
736	13133	4686
737	13150	4668
738	13169	4651
739	13186	4633
740	13203	4615
741	13224	4598
742	13243	4580
743	13260	4562
744	13278	4545
745	13297	4527
746	13314	4509
747	13331	4491
748	13348	4473
749	13366	4455
750	13384	4437
751	13401	4419
752	13420	4402
753	13438	4384
754	13455	4366
755	13472	4348
756	13490	4330
757	13508	4312
758	13526	4295
759	13544	4277
760	13562	4259
761	13578	4241
762	13595	4223
763	13612	4204
764	13628	4186
765	13646	4168
