iter	RMSE
0	2.259397216
1	2.165511149
2	2.073893632
3	1.990395103
4	1.910623409
5	1.835509497
6	1.765173148
7	1.695442939
8	1.631014513
9	1.571767813
10	1.512053684
11	1.458588588
12	1.405510532
13	1.355032533
14	1.306884194
15	1.261599406
16	1.220264174
17	1.180399894
18	1.14100998
19	1.106114734
20	1.069095087
21	1.035775113
22	1.00722222
23	0.9798309021
24	0.9533172238
25	0.9285591227
26	0.9044767933
27	0.8815681267
28	0.860581745
29	0.8416465602
30	0.8207098464
31	0.8034136434
32	0.7871931538
33	0.7725828098
34	0.7571294846
35	0.7426584273
36	0.729550562
37	0.7179720744
38	0.7055228962
39	0.6955212171
40	0.6854901185
41	0.6750630439
42	0.6662153872
43	0.6576180668
44	0.6495646388
45	0.6420830213
46	0.6334198554
47	0.62611194
48	0.6187221709
49	0.6114151436
50	0.6060921781
51	0.6001315076
52	0.5948618018
53	0.5904422317
54	0.5848329512
55	0.5798458736
56	0.5760823427
57	0.5723301003
58	0.5688091917
59	0.5644171657
60	0.5604824841
61	0.5557060073
62	0.5520060033
63	0.5487030642
64	0.5457643529
65	0.543033168
66	0.5402698717
67	0.537545485
68	0.5350879972
69	0.532768164
70	0.5308507908
71	0.5275651426
72	0.5255320492
73	0.5233320969
74	0.5207773239
75	0.5187622025
76	0.5168530035
77	0.5148564654
78	0.5131813062
79	0.5116576391
80	0.5100183995
81	0.5087904344
82	0.507171456
83	0.5058570644
84	0.5047096567
85	0.5031878119
86	0.5013862604
87	0.5001549236
88	0.4982709602
89	0.4969993182
90	0.4957064934
91	0.4947086145
92	0.4934044382
93	0.4914259677
94	0.4901304478
95	0.4887259045
96	0.4875191626
97	0.4864105452
98	0.485106345
99	0.4837408595
100	0.4824198356
101	0.4813585639
102	0.4804365435
103	0.4795638084
104	0.4783787178
105	0.4771648152
106	0.4764997206
107	0.4755800791
108	0.4746310158
109	0.4737216608
110	0.4724952517
111	0.4715643745
112	0.470757309
113	0.469629552
114	0.4689438786
115	0.4681884437
116	0.4672557495
117	0.4664750857
118	0.4656958514
119	0.4647101373
120	0.4637747117
121	0.4625178683
122	0.4615439106
123	0.4607671757
124	0.4599297311
125	0.4587550841
126	0.4579734419
127	0.4573678084
128	0.4565435557
129	0.4556822708
130	0.4547885231
131	0.4541526221
132	0.4530151032
133	0.4521537675
134	0.4513882652
135	0.4505475397
136	0.4499052932
137	0.4492236805
138	0.4484246827
139	0.4477515443
140	0.4471993073
141	0.4465079214
142	0.4456100028
143	0.4449195615
144	0.4441857264
145	0.4436728887
146	0.4429216944
147	0.4420865493
148	0.441170722
149	0.440185752
150	0.4394908063
151	0.4387651209
152	0.4381415778
153	0.4374371546
154	0.4364354136
155	0.4356587042
156	0.4352180988
157	0.4343971071
158	0.4339162628
159	0.4330022748
160	0.4323918624
161	0.4318079179
162	0.4311406515
163	0.4302579422
164	0.429612618
165	0.4288963979
166	0.428375579
167	0.4273722107
168	0.4266912748
169	0.4260124543
170	0.425466535
171	0.4247203176
172	0.4243266985
173	0.4236787253
174	0.4229396611
175	0.4224634115
176	0.4219390865
177	0.4211720967
178	0.4204853022
179	0.4199230853
180	0.4192617649
181	0.4184055738
182	0.4178163889
183	0.4172160875
184	0.4168257423
185	0.4158521917
186	0.4150636519
187	0.4145457928
188	0.4138086383
189	0.4131691995
190	0.412661155
191	0.4118599064
192	0.4112407412
193	0.4106769699
194	0.4095901342
195	0.4091039227
196	0.4080563787
197	0.4075157601
198	0.4070130853
199	0.4063010935
200	0.4056443938
201	0.4052916848
202	0.4045857467
203	0.4040276193
204	0.4035066942
205	0.402962454
206	0.4025608633
207	0.4020420093
208	0.4014285725
209	0.4004685765
210	0.3999987739
211	0.3990431014
212	0.3980121225
213	0.3975648989
214	0.3965616269
215	0.3959074085
216	0.3953631049
217	0.3944649293
218	0.3935712374
219	0.3929938561
220	0.3923324291
221	0.3916709206
222	0.3909911382
223	0.3905861922
224	0.3900292436
225	0.3895925407
226	0.3887273135
227	0.3881858683
228	0.3875027028
229	0.386951193
230	0.3865012773
231	0.3859584156
232	0.3854188416
233	0.3851191807
234	0.3845323373
235	0.3837119931
236	0.3831402056
237	0.3826999877
238	0.3818943291
239	0.3814815442
240	0.3809730601
241	0.3802781764
242	0.3798612165
243	0.3791642254
244	0.3785437125
245	0.3781810253
246	0.3774824369
247	0.3768851008
248	0.3764360031
249	0.3758505597
250	0.375309826
251	0.3746961714
252	0.374228481
253	0.3738196655
254	0.3733132375
255	0.3728786468
256	0.3723451069
257	0.371980411
258	0.3712036186
259	0.3708521782
260	0.370428017
261	0.3699876012
262	0.3693465237
263	0.3689034063
264	0.3683086284
265	0.3674231571
266	0.3670154061
267	0.3665495956
268	0.3660198044
269	0.3656450849
270	0.3649083353
271	0.3644886466
272	0.3638094673
273	0.3629871167
274	0.3624997292
275	0.3621626748
276	0.3617566952
277	0.3612716883
278	0.3609311788
279	0.3603937252
280	0.3598693621
281	0.3593959373
282	0.358916559
283	0.3584905237
284	0.3579123263
285	0.3570649935
286	0.356613386
287	0.3562006511
288	0.3557069766
289	0.3552609451
290	0.3548060498
291	0.3543478368
292	0.3540138674
293	0.3532806489
294	0.3529766136
295	0.3521688992
296	0.3514984911
297	0.3511494293
298	0.3507486283
299	0.3504248012
300	0.3501012685
301	0.3494019114
302	0.3490570221
303	0.3486495394
304	0.3481816481
305	0.3475588506
306	0.3471398328
307	0.3465255367
308	0.3460891089
309	0.3459272162
310	0.345209883
311	0.3445833313
312	0.3442579969
313	0.3436516038
314	0.3431698332
315	0.3428492253
316	0.3423515967
317	0.3419245723
318	0.3414175792
319	0.3407743105
320	0.3403343161
321	0.3399532927
322	0.3395760568
323	0.3392026813
324	0.3389879114
325	0.3385750915
326	0.3382127403
327	0.3379579771
328	0.3372869167
329	0.3368453179
330	0.3362258991
331	0.3355293712
332	0.3349134418
333	0.3344799589
334	0.3341095317
335	0.3336237122
336	0.3332030178
337	0.3327280171
338	0.3324411422
339	0.3321160194
340	0.3315670497
341	0.3312635147
342	0.3309961134
343	0.3305983627
344	0.3301823754
345	0.3297695581
346	0.3293915545
347	0.3287647752
348	0.3283012559
349	0.3280129135
350	0.3276892561
351	0.3272417816
352	0.3268069226
353	0.3264095763
354	0.3260778018
355	0.3255128754
356	0.3250270497
357	0.324664339
358	0.3241928679
359	0.3238215179
360	0.3236922089
361	0.3232944877
362	0.322839365
363	0.3224767707
364	0.3221618469
365	0.3216748667
366	0.3213187506
367	0.3210059945
368	0.3206115576
369	0.320275408
370	0.3198518152
371	0.3195438941
372	0.3192766572
373	0.3186321757
374	0.3182250437
375	0.3177214779
376	0.3171855958
377	0.3167414766
378	0.316319118
379	0.3158875164
380	0.3155099779
381	0.3150925438
382	0.3146950101
383	0.3144423199
384	0.3141338456
385	0.3137775913
386	0.3134361021
387	0.3129492498
388	0.3125585662
389	0.312253764
390	0.3117755143
391	0.3115858041
392	0.3110465352
393	0.3106207418
394	0.3102632119
395	0.3097123209
396	0.3094634006
397	0.3090544312
398	0.3086514154
399	0.308314011
400	0.3079961232
401	0.3076914943
402	0.3074833902
403	0.3069500406
404	0.3065978851
405	0.3062086035
406	0.3057892271
407	0.3054065045
408	0.3052109527
409	0.3048942402
410	0.3044316504
411	0.3040826102
412	0.3039639726
413	0.3037319518
414	0.3034615004
415	0.3029082186
416	0.3021680808
417	0.3016289581
418	0.301350749
419	0.3009994559
420	0.3007288758
421	0.300596578
422	0.3001277972
423	0.2997658435
424	0.2994770572
425	0.2990499169
426	0.298759477
427	0.298403933
428	0.29810079
429	0.2978121948
430	0.2974587075
431	0.2970815972
432	0.296748095
433	0.2965073413
434	0.2961736029
435	0.2956560775
436	0.2951629007
437	0.2949220301
438	0.2946629217
439	0.2943745505
440	0.2941179811
441	0.2938916652
442	0.2936379544
443	0.2933519454
444	0.2928233978
445	0.2923577543
446	0.2921697786
447	0.2918202213
448	0.2916573061
449	0.2913624225
450	0.2910415458
451	0.290746804
452	0.2905440339
453	0.2899585223
454	0.2896913197
455	0.2893650497
456	0.2891318304
457	0.2886797204
458	0.2883595136
459	0.2879594491
460	0.2877929052
461	0.2874971893
462	0.2869387395
463	0.2865875172
464	0.2863555287
465	0.2859019381
466	0.2855471667
467	0.2852784511
468	0.285044409
469	0.2847841083
470	0.2844882719
471	0.2840215774
472	0.2837768152
473	0.2833432927
474	0.2831416071
475	0.2828910371
476	0.2825962186
477	0.28236774
478	0.2820968117
479	0.2816390397
480	0.2810645299
481	0.2807637381
482	0.2806479868
483	0.2803384892
484	0.2800066462
485	0.2797536382
486	0.2794097627
487	0.279091576
488	0.2788169822
489	0.2783530005
490	0.2780490417
491	0.2778091752
492	0.2775169663
493	0.2772502588
494	0.276762272
495	0.2765854354
496	0.2762865337
497	0.2759615466
498	0.2754711464
499	0.275312852
500	0.2749031761
501	0.2744187919
502	0.2741063559
503	0.2739113836
504	0.2733916713
505	0.2729764175
506	0.2725934442
507	0.2722487641
508	0.2720661646
509	0.2718282362
510	0.2715105536
511	0.2712517826
512	0.2710731157
513	0.2708393531
514	0.2704990501
515	0.2702373397
516	0.2699335422
517	0.2695836256
518	0.2694077512
519	0.2693068875
520	0.269079699
521	0.2688009842
522	0.268519898
523	0.2682350434
524	0.2680812042
525	0.2678619091
526	0.2675649257
527	0.2671678401
528	0.2667991629
529	0.2665873526
530	0.2662489318
531	0.2659205448
532	0.2657053469
533	0.2654223309
534	0.2650494486
535	0.2647647152
536	0.2645391471
537	0.2642502984
538	0.2638474613
539	0.2634520884
540	0.2631023902
541	0.262889584
542	0.2627415093
543	0.2625492728
544	0.2624148052
545	0.2622435644
546	0.2620532775
547	0.2617113497
548	0.2615572743
549	0.2613169222
550	0.2611301289
551	0.2608682708
552	0.2605172749
553	0.2603347344
554	0.2600899554
555	0.2599489468
556	0.2595035758
557	0.2590675507
558	0.2587685212
559	0.2585868626
560	0.2584311506
561	0.2581768437
562	0.2579201122
563	0.2577229118
564	0.2575498721
565	0.2572978006
566	0.2569979417
567	0.2568085407
568	0.2565204594
569	0.2563210485
570	0.2559939122
571	0.2556743072
572	0.2553626092
573	0.2551807832
574	0.254949741
575	0.2547299483
576	0.2544742812
577	0.2542825337
578	0.2540316232
579	0.2537161868
580	0.2534532888
581	0.2531718716
582	0.2530020369
583	0.2526886413
584	0.2523646536
585	0.2520839708
586	0.2517998873
587	0.2515282464
588	0.2514087091
589	0.2512343309
590	0.250967131
591	0.2506702109
592	0.2504195844
