iter	Passed	Remaining
0	17	17064
1	34	17164
2	52	17516
3	69	17364
4	87	17459
5	106	17722
6	125	17866
7	143	17814
8	162	17891
9	181	18017
10	199	17903
11	216	17863
12	233	17753
13	252	17792
14	270	17747
15	288	17724
16	307	17764
17	325	17769
18	344	17794
19	363	17804
20	381	17770
21	400	17798
22	420	17854
23	439	17855
24	456	17812
25	475	17798
26	494	17819
27	513	17841
28	533	17874
29	551	17827
30	568	17757
31	585	17711
32	603	17670
33	620	17641
34	638	17604
35	657	17595
36	676	17619
37	695	17610
38	713	17571
39	731	17554
40	749	17542
41	767	17499
42	784	17453
43	801	17405
44	818	17377
45	836	17337
46	852	17295
47	871	17279
48	888	17252
49	907	17240
50	925	17227
51	945	17239
52	963	17223
53	981	17189
54	998	17162
55	1016	17141
56	1034	17107
57	1052	17086
58	1068	17048
59	1088	17048
60	1106	17036
61	1124	17009
62	1143	17006
63	1161	16990
64	1179	16964
65	1196	16935
66	1215	16926
67	1232	16899
68	1249	16864
69	1269	16861
70	1286	16830
71	1304	16816
72	1322	16796
73	1339	16766
74	1360	16775
75	1377	16750
76	1395	16726
77	1412	16699
78	1430	16682
79	1448	16658
80	1465	16631
81	1483	16610
82	1502	16600
83	1521	16588
84	1539	16569
85	1557	16553
86	1575	16530
87	1593	16516
88	1611	16490
89	1628	16463
90	1645	16441
91	1663	16413
92	1682	16406
93	1700	16388
94	1718	16366
95	1736	16352
96	1753	16326
97	1771	16308
98	1789	16289
99	1808	16274
100	1826	16253
101	1843	16228
102	1860	16202
103	1877	16179
104	1895	16154
105	1913	16142
106	1934	16144
107	1953	16135
108	1971	16116
109	1989	16095
110	2009	16092
111	2029	16094
112	2047	16068
113	2064	16045
114	2084	16039
115	2101	16016
116	2118	15990
117	2135	15963
118	2153	15941
119	2171	15921
120	2190	15914
121	2210	15905
122	2227	15885
123	2246	15871
124	2263	15844
125	2281	15827
126	2298	15801
127	2315	15776
128	2333	15757
129	2350	15732
130	2368	15710
131	2385	15687
132	2403	15669
133	2421	15647
134	2440	15635
135	2459	15623
136	2478	15610
137	2495	15586
138	2511	15558
139	2529	15539
140	2547	15517
141	2564	15494
142	2584	15488
143	2604	15484
144	2626	15485
145	2645	15475
146	2668	15485
147	2689	15484
148	2710	15480
149	2729	15467
150	2746	15441
151	2763	15416
152	2780	15393
153	2798	15372
154	2815	15349
155	2833	15330
156	2851	15313
157	2871	15300
158	2890	15287
159	2909	15275
160	2928	15258
161	2947	15246
162	2965	15229
163	2983	15209
164	3003	15197
165	3022	15182
166	3044	15187
167	3064	15175
168	3083	15160
169	3103	15151
170	3124	15146
171	3145	15143
172	3170	15156
173	3191	15152
174	3214	15152
175	3236	15150
176	3256	15142
177	3275	15125
178	3294	15111
179	3315	15102
180	3332	15079
181	3350	15059
182	3367	15034
183	3385	15014
184	3403	14992
185	3420	14967
186	3437	14945
187	3458	14937
188	3476	14919
189	3496	14905
190	3514	14884
191	3531	14863
192	3549	14842
193	3567	14823
194	3584	14799
195	3602	14775
196	3619	14751
197	3636	14729
198	3653	14707
199	3671	14685
200	3688	14663
201	3706	14642
202	3725	14626
203	3745	14613
204	3762	14592
205	3779	14568
206	3797	14546
207	3814	14524
208	3831	14500
209	3849	14480
210	3867	14463
211	3887	14450
212	3906	14435
213	3924	14414
214	3941	14391
215	3958	14368
216	3975	14345
217	3993	14325
218	4012	14310
219	4030	14288
220	4048	14270
221	4065	14247
222	4083	14227
223	4100	14206
224	4119	14189
225	4137	14170
226	4155	14149
227	4175	14136
228	4192	14116
229	4210	14096
230	4229	14080
231	4247	14060
232	4264	14038
233	4282	14017
234	4299	13997
235	4317	13977
236	4335	13957
237	4353	13938
238	4370	13916
239	4387	13892
240	4404	13871
241	4421	13849
242	4440	13832
243	4458	13813
244	4476	13794
245	4494	13776
246	4512	13756
247	4530	13736
248	4549	13721
249	4567	13703
250	4585	13684
251	4603	13663
252	4620	13641
253	4636	13618
254	4654	13597
255	4671	13575
256	4688	13554
257	4706	13536
258	4726	13521
259	4745	13506
260	4765	13493
261	4785	13479
262	4804	13462
263	4822	13444
264	4840	13424
265	4857	13404
266	4875	13385
267	4894	13368
268	4913	13351
269	4931	13334
270	4952	13323
271	4971	13307
272	4989	13286
273	5009	13274
274	5028	13257
275	5047	13241
276	5066	13223
277	5083	13202
278	5101	13182
279	5118	13160
280	5136	13142
281	5154	13122
282	5171	13102
283	5191	13087
284	5210	13073
285	5230	13057
286	5249	13041
287	5267	13023
288	5285	13003
289	5302	12981
290	5319	12961
291	5337	12941
292	5354	12919
293	5371	12899
294	5389	12880
295	5408	12863
296	5428	12850
297	5447	12831
298	5464	12811
299	5481	12790
300	5498	12768
301	5516	12749
302	5535	12733
303	5552	12713
304	5570	12693
305	5591	12682
306	5610	12664
307	5629	12647
308	5648	12631
309	5665	12610
310	5683	12590
311	5700	12570
312	5718	12551
313	5735	12531
314	5753	12512
315	5772	12493
