iter	RMSE
0	2.257250156
1	2.162049809
2	2.069440876
3	1.985253413
4	1.904725523
5	1.828172713
6	1.755003158
7	1.68535955
8	1.620124743
9	1.560272328
10	1.500358268
11	1.446240913
12	1.393107168
13	1.342360377
14	1.293997554
15	1.248965818
16	1.207912379
17	1.167907709
18	1.128426641
19	1.092685163
20	1.055762159
21	1.022548564
22	0.9929438578
23	0.9658409989
24	0.9392057925
25	0.9136205881
26	0.8888094834
27	0.8653131501
28	0.8434022049
29	0.8237192162
30	0.8040791618
31	0.787320983
32	0.7713555908
33	0.7561511589
34	0.7412335015
35	0.7270954936
36	0.7153121929
37	0.7037318191
38	0.6926825231
39	0.6828921349
40	0.6730383427
41	0.6619752715
42	0.6520951168
43	0.6435811909
44	0.634297915
45	0.6274733445
46	0.6201105186
47	0.612881815
48	0.6060928779
49	0.5994657528
50	0.5948541834
51	0.5892150993
52	0.5843289591
53	0.5804958902
54	0.5764847738
55	0.5722763896
56	0.5690631232
57	0.5641611628
58	0.5606132387
59	0.5563096317
60	0.5522940201
61	0.5490157728
62	0.5456638807
63	0.5424006497
64	0.5398870149
65	0.5370422235
66	0.5350245001
67	0.5325751105
68	0.5304460722
69	0.5283877701
70	0.5265946656
71	0.5248963036
72	0.5225371174
73	0.5205351664
74	0.5185033311
75	0.5170496777
76	0.5154758628
77	0.5134960117
78	0.5119146141
79	0.5104368368
80	0.508817329
81	0.5074703324
82	0.5062097424
83	0.5051809533
84	0.5038783226
85	0.5019554958
86	0.5005039587
87	0.4992834124
88	0.4974995966
89	0.4963503093
90	0.4951671041
91	0.4943222821
92	0.4931976648
93	0.4920678611
94	0.4910085932
95	0.4897972066
96	0.4889681622
97	0.4876629344
98	0.4866337296
99	0.4857661695
100	0.4847474727
101	0.4834510383
102	0.4825365738
103	0.4815209895
104	0.4804084922
105	0.4795674824
106	0.4786369896
107	0.4776315138
108	0.4764987929
109	0.4752047812
110	0.4744041485
111	0.4732524523
112	0.4724043953
113	0.4711063505
114	0.4704222026
115	0.4694798539
116	0.4683820285
117	0.4674470141
118	0.4665267875
119	0.465296752
120	0.464557085
121	0.4638486044
122	0.4630260424
123	0.4621105628
124	0.4617055907
125	0.4610995388
126	0.4603222082
127	0.4596534256
128	0.4587917662
129	0.4579358606
130	0.4570609234
131	0.4561353428
132	0.4549335975
133	0.4542644378
134	0.4534033311
135	0.4530465021
136	0.452285863
137	0.4513827282
138	0.4508479729
139	0.4501201866
140	0.4490754575
141	0.4484792339
142	0.4477376102
143	0.4468972542
144	0.4461392399
145	0.4455701009
146	0.4448939712
147	0.4442308205
148	0.4434592998
149	0.4428185072
150	0.4420135679
151	0.4413382573
152	0.4405547413
153	0.4400136146
154	0.4392935769
155	0.4385644567
156	0.4379932064
157	0.4373483714
158	0.4368374203
159	0.436279847
160	0.4356184245
161	0.4349842743
162	0.4344158267
163	0.4333779257
164	0.432850366
165	0.4322509864
166	0.4317766901
167	0.4310598106
168	0.4303471521
169	0.429820949
170	0.42936681
171	0.4287851412
172	0.4277836974
173	0.4272432822
174	0.4267802868
175	0.4262434824
176	0.4252712175
177	0.4247067836
178	0.424056529
179	0.423442025
180	0.4228878274
181	0.4222416539
182	0.4214683275
183	0.4207649285
184	0.4202384601
185	0.419806735
186	0.4191867636
187	0.4185939634
188	0.4181596451
189	0.4170121637
190	0.4163985835
191	0.4158386547
192	0.4153898439
193	0.414782429
194	0.4137894078
195	0.4131705648
196	0.4126014313
197	0.4121509482
198	0.4116807383
199	0.4110104253
200	0.4105096525
201	0.4100349424
202	0.4094023851
203	0.4086390888
204	0.4080699522
205	0.4074825757
206	0.4069101388
207	0.4062834913
208	0.4056469603
209	0.4048958517
210	0.4043573751
211	0.403854515
212	0.4029762974
213	0.4025447429
214	0.4021312387
215	0.4015616295
216	0.4010952078
217	0.4005741577
218	0.3998073752
219	0.3989205734
220	0.3980498589
221	0.397671568
222	0.3971507555
223	0.3963833019
224	0.3958871115
225	0.3954662947
226	0.3949861468
227	0.3944146022
228	0.3936250801
229	0.3931113564
230	0.3926202892
231	0.3922827256
232	0.3918279179
233	0.3913932989
234	0.3904445623
235	0.390081048
236	0.3897432053
237	0.3892731786
238	0.3888968735
239	0.3885277816
240	0.3878741346
241	0.3873171093
242	0.3869621137
243	0.3864115742
244	0.3859866201
245	0.3853370413
246	0.384852262
247	0.3840042555
248	0.3833353421
249	0.3829341371
250	0.3824210718
251	0.3819578241
252	0.3812434655
253	0.3809298133
254	0.3805410894
255	0.3800567365
256	0.3795349489
257	0.3791142496
258	0.3787784621
259	0.3783711468
260	0.3778647918
261	0.3773984186
262	0.3770460016
263	0.3766814482
264	0.3762846029
265	0.3756745818
266	0.3751831979
267	0.3747846266
268	0.3743390758
269	0.3739776147
270	0.3736098876
271	0.3729956752
272	0.372606233
273	0.372365872
274	0.3717562292
275	0.3713819474
276	0.3708927432
277	0.3702489149
278	0.3697142217
279	0.3690699353
280	0.3687380166
281	0.3683742737
282	0.3678935342
283	0.3675077861
